,blast_id,user_id,date,video,sport,action_type,gender,equipment,thumb,handedness,is_air_swing,back_stroke_time,forward_stroke_time,total_stroke_time,tempo,impact_stroke_speed,back_stroke_length,loft_change,backstroke_rotation,forward_stroke_rotation,face_angle_at_impact,lie_change
124,026a495a-fa02-41fe-be9f-3fcedfc1f0c0,529228,"February 26, 2026 / 9:39am",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.61,0.33,0.94,1.8,2.2,6.1,2.0,2.7,2.8,-0.1,-1.1
125,7d64d021-4562-4f82-91d2-4e3b63f42cd0,529228,"February 25, 2026 / 4:20pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.29,0.89,2.1,2.2,5.3,0.7,1.9,2.3,-0.4,-1.5
126,31be5fb9-32f2-45a2-ae07-ffeef211245d,529228,"February 25, 2026 / 4:19pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.28,0.89,2.1,2.1,5.6,1.4,2.3,1.9,0.3,-0.8
127,8b5524c6-b7e4-4508-b9aa-a870903e49f8,529228,"February 25, 2026 / 4:19pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.56,0.29,0.86,1.9,2.2,5.3,1.7,1.9,1.4,0.5,-0.6
128,955a5996-1549-4c13-901f-2f3af4615744,529228,"February 25, 2026 / 4:19pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.31,0.90,1.9,2.1,5.3,1.6,2.0,1.1,0.9,-0.8
129,edd407ca-6001-41c0-92a8-aad7237ab54e,529228,"February 25, 2026 / 4:18pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.66,0.31,0.97,2.1,2.2,5.6,1.6,2.8,1.7,1.1,-0.8
130,65c11ac0-9838-4f7a-bccc-8571ad2e2219,529228,"February 25, 2026 / 4:18pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.59,0.30,0.88,2.0,2.3,5.4,1.1,1.7,1.0,0.7,-0.7
131,e0d946ad-6b72-4d90-9054-99412fa1aaa8,529228,"February 25, 2026 / 4:17pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.59,0.30,0.89,2.0,2.1,5.0,1.6,1.8,1.3,0.5,-0.8
132,27402cd9-d409-42c5-b2fd-dc7167e8bcd4,529228,"February 25, 2026 / 4:17pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.55,0.30,0.85,1.8,2.1,5.5,1.2,2.3,1.9,0.4,-0.9
133,c97b3292-cbcb-49fe-8c4a-b53dd7f39f19,529228,"February 25, 2026 / 4:17pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.62,0.32,0.94,1.9,2.1,5.4,1.1,2.7,2.4,0.3,-0.6
134,92e502d3-ba8a-428e-9e79-3dd03412e988,529228,"February 25, 2026 / 4:17pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.56,0.29,0.85,1.9,2.3,5.3,1.7,2.5,1.9,0.7,-0.8
135,73bb7942-fc10-4c7c-959c-ffefbc921a00,529228,"February 25, 2026 / 4:16pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.59,0.29,0.88,2.0,2.1,5.4,1.1,2.7,1.7,1.1,-1.1
136,446f56c1-30e2-4dbc-90c2-28d2db1b88d7,529228,"February 25, 2026 / 4:16pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.52,0.28,0.81,1.8,2.1,5.0,1.3,2.5,1.4,1.1,-0.8
137,828dcf4c-41fd-473f-9ace-552ecc38755f,529228,"February 25, 2026 / 4:16pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.57,0.27,0.85,2.1,2.1,4.8,1.7,1.9,1.2,0.7,-1.0
